,Cluster_Labels_basic_female
0,0.0
1,0.0
2,4.0
7,4.0
8,0.0
9,4.0
10,0.0
12,1.0
14,0.0
15,4.0
19,0.0
20,3.0
22,2.0
23,1.0
24,0.0
25,4.0
26,4.0
27,0.0
30,4.0
31,4.0
33,1.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
42,0.0
44,1.0
45,1.0
46,0.0
47,0.0
48,2.0
49,0.0
50,0.0
55,0.0
57,0.0
58,0.0
59,4.0
62,0.0
64,1.0
65,4.0
67,0.0
68,0.0
69,4.0
70,0.0
72,1.0
73,1.0
74,0.0
75,1.0
76,3.0
77,0.0
79,1.0
80,0.0
81,0.0
82,4.0
83,4.0
84,0.0
85,4.0
86,4.0
87,0.0
89,3.0
90,0.0
91,4.0
94,0.0
96,4.0
97,0.0
98,0.0
99,3.0
100,3.0
101,4.0
102,0.0
105,4.0
106,0.0
107,0.0
109,1.0
111,0.0
112,0.0
113,4.0
114,4.0
115,0.0
116,0.0
117,1.0
118,4.0
121,4.0
122,4.0
123,0.0
124,0.0
125,0.0
126,4.0
127,0.0
129,4.0
130,0.0
131,0.0
132,0.0
134,0.0
136,0.0
138,4.0
142,0.0
143,0.0
144,4.0
146,0.0
147,0.0
148,0.0
149,4.0
150,4.0
151,0.0
153,0.0
155,0.0
156,4.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,4.0
168,0.0
169,0.0
171,4.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
182,0.0
183,0.0
185,4.0
186,4.0
189,0.0
191,0.0
192,0.0
193,0.0
195,0.0
196,0.0
198,4.0
199,2.0
202,1.0
205,0.0
208,4.0
210,1.0
211,0.0
212,4.0
213,3.0
214,0.0
215,0.0
216,0.0
217,4.0
218,1.0
219,0.0
220,4.0
221,0.0
222,4.0
223,0.0
224,0.0
226,4.0
227,4.0
228,0.0
229,0.0
230,4.0
231,4.0
232,0.0
234,0.0
235,0.0
237,0.0
238,0.0
240,4.0
242,4.0
243,4.0
244,1.0
245,0.0
246,2.0
247,0.0
248,0.0
249,0.0
250,4.0
252,0.0
253,0.0
254,0.0
256,4.0
257,0.0
258,0.0
260,0.0
261,4.0
262,0.0
264,0.0
267,4.0
268,0.0
269,0.0
271,2.0
272,1.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
280,0.0
282,1.0
283,4.0
284,0.0
286,1.0
287,4.0
288,0.0
289,0.0
290,0.0
292,0.0
294,0.0
296,4.0
297,0.0
298,2.0
300,1.0
301,0.0
302,0.0
304,1.0
305,3.0
307,0.0
308,0.0
309,0.0
310,2.0
311,0.0
312,0.0
314,4.0
315,2.0
317,0.0
321,1.0
322,1.0
323,3.0
325,0.0
326,4.0
327,0.0
328,0.0
329,4.0
330,0.0
331,4.0
332,1.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,1.0
342,0.0
343,0.0
344,0.0
348,0.0
349,0.0
352,2.0
354,0.0
357,0.0
358,4.0
359,0.0
361,0.0
363,4.0
364,0.0
370,0.0
371,0.0
373,4.0
374,4.0
375,0.0
376,0.0
377,3.0
378,0.0
384,0.0
385,0.0
386,0.0
388,4.0
389,0.0
392,0.0
393,4.0
394,0.0
395,4.0
396,0.0
397,0.0
398,0.0
399,4.0
401,0.0
403,4.0
404,3.0
405,0.0
406,0.0
407,0.0
409,0.0
410,0.0
411,0.0
413,0.0
415,0.0
417,0.0
418,0.0
420,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,4.0
429,4.0
430,0.0
431,4.0
432,1.0
433,0.0
435,0.0
436,0.0
437,4.0
438,4.0
442,0.0
443,0.0
444,1.0
445,0.0
446,4.0
447,4.0
448,0.0
449,0.0
451,1.0
452,0.0
453,0.0
454,2.0
457,0.0
458,2.0
462,4.0
463,0.0
464,1.0
465,4.0
468,1.0
469,0.0
470,0.0
471,4.0
472,0.0
474,0.0
475,4.0
477,0.0
479,0.0
480,4.0
481,0.0
482,4.0
483,0.0
486,0.0
487,0.0
488,4.0
489,4.0
490,0.0
491,4.0
494,0.0
495,4.0
496,0.0
497,1.0
498,0.0
501,4.0
502,4.0
504,0.0
505,0.0
506,0.0
507,4.0
508,0.0
509,0.0
511,0.0
512,4.0
513,0.0
514,0.0
515,0.0
516,1.0
517,4.0
518,0.0
520,1.0
522,0.0
523,2.0
524,0.0
525,0.0
526,0.0
528,0.0
529,4.0
530,0.0
532,4.0
533,1.0
534,0.0
535,0.0
536,0.0
538,0.0
539,1.0
540,0.0
541,2.0
542,0.0
543,0.0
545,2.0
546,0.0
548,0.0
550,0.0
551,0.0
552,0.0
553,4.0
554,0.0
556,0.0
557,0.0
558,0.0
560,0.0
563,0.0
565,4.0
566,4.0
569,1.0
571,0.0
572,4.0
574,0.0
575,4.0
576,0.0
577,4.0
578,0.0
579,0.0
581,0.0
582,4.0
583,0.0
584,4.0
585,0.0
586,4.0
587,0.0
588,0.0
589,0.0
592,0.0
593,0.0
594,4.0
596,4.0
597,0.0
598,0.0
601,4.0
603,4.0
604,2.0
605,0.0
606,0.0
608,0.0
609,4.0
610,1.0
612,1.0
613,0.0
614,0.0
616,4.0
619,0.0
620,0.0
621,4.0
622,0.0
623,0.0
624,0.0
627,4.0
629,4.0
633,0.0
634,4.0
636,0.0
637,0.0
638,1.0
639,4.0
640,0.0
641,0.0
643,4.0
644,1.0
645,4.0
646,0.0
647,2.0
650,0.0
651,0.0
652,0.0
653,0.0
655,0.0
656,2.0
658,0.0
659,0.0
660,4.0
661,4.0
663,0.0
664,0.0
665,0.0
666,4.0
669,4.0
670,0.0
671,0.0
672,1.0
673,0.0
674,1.0
676,0.0
677,4.0
679,2.0
680,1.0
681,0.0
683,4.0
684,4.0
685,0.0
686,0.0
687,0.0
688,4.0
690,4.0
691,4.0
692,0.0
693,0.0
694,4.0
695,1.0
697,0.0
698,0.0
699,0.0
701,4.0
703,0.0
705,0.0
706,0.0
707,0.0
708,4.0
709,0.0
710,4.0
711,4.0
717,0.0
718,4.0
719,0.0
720,0.0
721,0.0
722,4.0
723,0.0
725,0.0
726,1.0
727,4.0
730,0.0
732,4.0
733,4.0
734,0.0
735,0.0
736,0.0
737,4.0
738,0.0
739,0.0
740,0.0
743,0.0
745,4.0
746,0.0
747,4.0
748,0.0
749,4.0
750,0.0
751,1.0
752,0.0
753,0.0
754,0.0
756,0.0
757,4.0
758,1.0
760,4.0
761,4.0
762,4.0
763,0.0
764,2.0
765,0.0
766,0.0
767,3.0
768,0.0
769,0.0
770,0.0
772,0.0
774,4.0
775,0.0
778,0.0
779,4.0
781,0.0
783,4.0
784,0.0
787,0.0
789,0.0
790,4.0
791,4.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
799,0.0
802,0.0
