,Cluster_Labels_basic_male
3,2.0
4,4.0
5,0.0
6,4.0
11,4.0
13,2.0
16,2.0
17,2.0
18,1.0
21,4.0
28,2.0
29,0.0
32,2.0
34,4.0
41,4.0
43,1.0
51,4.0
52,2.0
53,4.0
54,4.0
56,2.0
60,1.0
61,1.0
63,3.0
66,4.0
71,2.0
78,4.0
88,4.0
92,2.0
93,2.0
95,4.0
103,2.0
104,2.0
108,2.0
110,2.0
119,4.0
120,0.0
128,4.0
133,4.0
135,4.0
137,4.0
139,4.0
140,4.0
141,1.0
145,2.0
152,4.0
154,2.0
157,2.0
167,2.0
170,2.0
172,4.0
180,4.0
181,4.0
184,1.0
187,2.0
188,4.0
190,4.0
194,4.0
197,2.0
200,4.0
201,4.0
203,0.0
204,2.0
206,2.0
207,4.0
209,2.0
225,1.0
233,2.0
236,4.0
239,2.0
241,1.0
251,4.0
255,0.0
259,4.0
263,4.0
265,2.0
266,2.0
270,2.0
273,2.0
279,4.0
281,1.0
285,1.0
291,2.0
293,2.0
295,2.0
299,4.0
303,0.0
306,2.0
313,4.0
316,4.0
318,4.0
319,4.0
320,2.0
324,4.0
333,4.0
340,4.0
341,4.0
345,4.0
346,2.0
347,2.0
350,4.0
351,4.0
353,4.0
355,2.0
356,2.0
360,2.0
362,4.0
365,4.0
366,2.0
367,2.0
368,4.0
369,2.0
372,2.0
379,2.0
380,3.0
381,2.0
382,1.0
383,2.0
387,4.0
390,4.0
391,4.0
400,4.0
402,4.0
408,2.0
412,4.0
414,2.0
416,2.0
419,1.0
421,2.0
427,4.0
428,4.0
434,4.0
439,4.0
440,4.0
441,4.0
450,2.0
455,2.0
456,4.0
459,2.0
460,4.0
461,4.0
466,2.0
467,2.0
473,2.0
476,4.0
478,1.0
484,2.0
485,4.0
492,4.0
493,0.0
499,2.0
500,4.0
503,4.0
510,4.0
519,4.0
521,3.0
527,2.0
531,4.0
537,4.0
544,2.0
547,2.0
549,4.0
555,4.0
559,4.0
561,4.0
562,1.0
564,4.0
567,4.0
568,4.0
570,3.0
573,2.0
580,4.0
590,4.0
591,4.0
595,2.0
599,3.0
600,4.0
602,2.0
607,4.0
611,4.0
615,2.0
617,4.0
618,4.0
625,1.0
626,2.0
628,2.0
630,1.0
631,2.0
632,1.0
635,4.0
642,1.0
648,2.0
649,2.0
654,4.0
657,4.0
662,4.0
667,4.0
668,1.0
675,0.0
678,4.0
682,1.0
689,1.0
696,2.0
700,4.0
702,4.0
704,4.0
712,2.0
713,2.0
714,4.0
715,4.0
716,2.0
724,4.0
728,2.0
729,4.0
731,2.0
741,4.0
742,0.0
744,2.0
755,4.0
759,2.0
771,2.0
773,2.0
776,4.0
777,2.0
780,2.0
782,4.0
785,4.0
786,2.0
788,4.0
797,4.0
798,4.0
800,2.0
801,4.0
803,2.0
806,2.0
808,4.0
810,2.0
814,2.0
815,2.0
823,4.0
828,4.0
833,3.0
841,2.0
842,2.0
850,4.0
855,2.0
857,4.0
858,4.0
865,2.0
868,1.0
869,1.0
870,1.0
872,4.0
873,4.0
874,1.0
876,2.0
878,1.0
879,4.0
881,2.0
886,1.0
890,1.0
893,4.0
894,2.0
895,3.0
896,1.0
899,2.0
900,0.0
905,1.0
908,1.0
910,3.0
911,0.0
912,0.0
913,2.0
914,1.0
916,0.0
